N,Merge Sort T(2),Merge Sort T(8),Merge Sort T(16),Merge Sort T(32),Merge Sort T(64),Merge Sort T(128)
1,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
1316,0.000119,0.000102,0.000079,0.000083,0.000097,0.000136
2632,0.000342,0.000293,0.000267,0.000251,0.000259,0.000300
3948,0.000543,0.000454,0.000434,0.000437,0.000493,0.000652
5263,0.000772,0.000662,0.000623,0.000596,0.000625,0.000739
6579,0.001016,0.000852,0.000826,0.000803,0.000844,0.001050
7895,0.001208,0.001032,0.000976,0.000977,0.001076,0.001364
9211,0.001423,0.001271,0.001203,0.001318,0.001178,0.001329
10526,0.001673,0.001458,0.001380,0.001334,0.001387,0.001608
11842,0.001939,0.001655,0.001561,0.001528,0.001610,0.001890
13158,0.002176,0.001864,0.001764,0.001735,0.001840,0.002215
14474,0.002373,0.002057,0.001962,0.001945,0.002077,0.002537
15789,0.002575,0.002241,0.002130,0.002142,0.002326,0.002899
17105,0.002818,0.002510,0.002401,0.002327,0.002351,0.002588
18421,0.003056,0.002755,0.002640,0.002536,0.002582,0.002874
19737,0.003333,0.002964,0.002813,0.002720,0.002786,0.003141
21052,0.003583,0.003164,0.003010,0.002903,0.003008,0.003453
22368,0.003843,0.003382,0.003172,0.003130,0.003253,0.003732
23684,0.004171,0.003619,0.003402,0.003344,0.003525,0.004073
25000,0.004388,0.003780,0.003582,0.003530,0.003733,0.004402
